TMDB1402,movie,The Pursuit of Happyness,,,2006,Golden Gate Park,Columbia Pictures Corporation,Columbia Pictures,Steven Conrad,Gabriele Muccino,Will Smith,Jayden C. Smith,,9
TMDB11863,movie,Jade,,,1995,"Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park)",Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri,9
TMDB2018,movie,The Wedding Planner,,,2001,"Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park)",Columbia Pictures,Sony Pictures Entertainment,Adam Shankman,Pamela Falk,Jennifer Lopez,Matthew McConaughey,,9
TMDB42634,movie,Petulia,,,1968,"Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park)",Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Richard Chamberlain,9
TMDB57774,tv,Looking,2,203,2015,Kezar Pavillion,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,9
TMDB984,movie,Dirty Harry,,,1971,Kezar Pavillion,The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,9
TMDB41579,movie,Getting Even with Dad,,,1994,de Young Museum (Golden Gate Park),Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,9
TMDB323692,movie,Quitters,,,2015,McLaren Lodge,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,9
TMDB18592,movie,Around the Fire,,,1998,Ocean Beach,Paradigm Studio,Ardustry Home Entertainment,John Jacobsen,John Comerford,Tara Reid,,,9
TMDB291869,movie,I Am Michael,,,2015,Ocean Beach at Balboa,That�s Hollywood,,Justin Kelly,Justin Kelly,James Franco,Emma Roberts,Zachary Quinto,9
TMDB160588,movie,Blue Jasmine,,,2013,Ocean Beach at Lincoln,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,9
TMDB402,movie,Basic Instinct,,,1992,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,9
